id,filename,item,itemtext,type,relevance,count,year,sentiment,anger,fear,joy,sadness,disgust
28917,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"United Nations",NULL,0.93699,0,2013,0,0,0,0,0,0
28918,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"Nuclear weapon",NULL,0.586047,0,2013,0,0,0,0,0,0
28919,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"Millennium Development Goals",NULL,0.423191,0,2013,0,0,0,0,0,0
28920,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"Human rights",NULL,0.400967,0,2013,0,0,0,0,0,0
28921,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"Nuclear Non-Proliferation Treaty",NULL,0.371938,0,2013,0,0,0,0,0,0
28922,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"Nuclear proliferation",NULL,0.360842,0,2013,0,0,0,0,0,0
28923,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,Kazakhstan,NULL,0.325696,0,2013,0,0,0,0,0,0
28924,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"United Nations Security Council",NULL,0.314776,0,2013,0,0,0,0,0,0
28925,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"International security",NULL,0.302908,0,2013,0,0,0,0,0,0
28926,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"Nuclear weapons",NULL,0.302544,0,2013,0,0,0,0,0,0
28927,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"United Kingdom",NULL,0.300594,0,2013,0,0,0,0,0,0
28928,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"Central Asia",NULL,0.300493,0,2013,0,0,0,0,0,0
28929,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"International Atomic Energy Agency",NULL,0.299428,0,2013,0,0,0,0,0,0
28930,"/home/jdellaria/Desktop/UNGA Speeches/2013/KAZ_68_2013.txt.nlu.json",Concepts,"United Nations General Assembly",NULL,0.289488,0,2013,0,0,0,0,0,0
